Date,Open,High,Low,Close,Volume
1-Apr-16,67.58,68.50,67.35,67.95,82464300
31-Mar-16,67.63,68.26,67.23,68.02,89886085
30-Mar-16,68.46,68.81,67.60,67.80,90050780
29-Mar-16,68.49,69.10,67.48,68.00,60662703
24-Mar-16,68.52,68.88,67.94,68.05,71902362
23-Mar-16,69.39,69.68,68.45,68.90,57110378
22-Mar-16,69.57,69.63,68.48,69.36,89703736
21-Mar-16,69.56,70.40,69.42,69.79,62154946
18-Mar-16,70.06,71.02,69.65,69.90,165317903
17-Mar-16,69.40,69.43,67.69,69.30,93727452
16-Mar-16,69.22,69.63,68.17,68.79,96144178
15-Mar-16,69.88,70.23,69.04,69.27,83087154
14-Mar-16,70.50,70.99,69.84,70.31,91580328
11-Mar-16,70.24,71.01,68.96,70.15,95648643
10-Mar-16,70.00,71.00,68.95,68.95,142476245
9-Mar-16,70.88,71.40,69.71,69.77,104981204
8-Mar-16,72.01,72.13,70.28,70.63,102305493
7-Mar-16,73.36,73.38,71.96,72.75,72334078
4-Mar-16,73.27,73.41,72.62,73.24,76014915
3-Mar-16,73.48,73.58,72.19,72.58,92353883
2-Mar-16,73.80,73.91,72.57,73.27,90868420
1-Mar-16,72.40,73.29,71.68,73.07,104665703
29-Feb-16,71.20,72.48,70.50,72.40,119428330
26-Feb-16,71.77,72.61,71.70,72.13,133655861
25-Feb-16,68.50,70.75,66.27,70.64,266434294
24-Feb-16,63.00,63.59,61.90,62.20,97980692
23-Feb-16,62.56,63.98,62.38,62.93,91070927
22-Feb-16,62.45,63.66,62.03,63.18,81552591
19-Feb-16,62.44,63.16,61.12,61.80,86814715
18-Feb-16,63.38,63.54,62.07,62.44,88008762
17-Feb-16,60.89,63.07,60.51,62.79,99838499
16-Feb-16,60.23,60.90,59.36,60.55,86034868
15-Feb-16,59.71,60.40,56.69,59.84,85573410
12-Feb-16,57.09,58.48,56.58,58.48,117243204
11-Feb-16,57.78,57.78,55.84,56.00,125254862
10-Feb-16,58.56,59.32,57.62,58.40,157828371
9-Feb-16,59.07,60.22,57.00,58.13,193945414
8-Feb-16,63.00,63.19,59.01,59.36,126776670
5-Feb-16,63.13,63.46,61.50,61.80,108025938
4-Feb-16,62.00,63.30,60.75,62.77,103768415
3-Feb-16,61.60,62.43,60.25,60.69,126853264
2-Feb-16,63.84,64.20,61.57,61.94,140263334
1-Feb-16,65.76,66.03,63.59,64.19,115996519
29-Jan-16,64.83,65.66,64.22,65.46,150818435
28-Jan-16,65.26,65.66,63.25,64.07,88577983
27-Jan-16,64.73,64.93,63.05,64.92,143132934
26-Jan-16,62.30,65.22,61.86,64.73,131741991
25-Jan-16,66.68,66.73,63.14,63.14,156054097
22-Jan-16,66.01,67.32,65.82,66.86,105304655
21-Jan-16,63.60,65.03,62.78,64.70,130284340
20-Jan-16,64.46,64.46,61.00,64.05,121479705
19-Jan-16,64.68,66.49,63.95,65.78,144481320
18-Jan-16,64.59,65.65,62.33,64.12,116192880
15-Jan-16,66.50,67.05,64.62,64.71,194310846
14-Jan-16,67.11,67.33,65.61,66.53,192627711
13-Jan-16,69.31,69.53,67.47,67.80,130387681
12-Jan-16,68.77,70.11,68.65,69.30,104342006
11-Jan-16,69.00,70.21,68.86,68.93,110746945
8-Jan-16,69.83,70.68,68.87,68.87,105145839
7-Jan-16,69.70,71.41,68.88,69.49,134323511
6-Jan-16,71.50,71.53,70.51,71.00,100062422
5-Jan-16,72.27,72.45,71.17,71.57,108716355
4-Jan-16,72.21,72.63,70.76,71.37,107833422
31-Dec-15,72.47,74.04,72.47,73.07,17581673
30-Dec-15,73.56,73.99,73.22,73.60,36203405
29-Dec-15,73.60,74.22,73.00,74.00,66262861
24-Dec-15,73.50,73.66,72.70,73.50,13731377
23-Dec-15,71.80,73.79,71.72,73.65,71078054
22-Dec-15,71.43,71.90,70.94,71.31,44204074
21-Dec-15,70.75,71.90,70.74,70.95,68269381
18-Dec-15,70.98,71.75,70.80,71.04,308407612
16-Dec-15,70.66,70.74,69.95,70.53,112624966
15-Dec-15,69.11,70.92,69.11,70.34,121050630
14-Dec-15,70.30,70.76,68.57,68.68,109565453
11-Dec-15,71.74,72.10,69.90,70.01,103878190
10-Dec-15,70.60,72.44,70.25,72.04,124012332
9-Dec-15,71.84,71.97,70.67,70.88,100565838
8-Dec-15,72.49,72.52,71.31,71.90,108579824
7-Dec-15,73.57,74.00,72.41,72.48,59450106
4-Dec-15,73.16,73.38,72.74,73.01,71166044
3-Dec-15,74.30,74.64,73.00,73.00,115078026
2-Dec-15,75.00,75.20,74.44,74.45,96754432
1-Dec-15,75.15,75.52,74.40,74.71,182450323
30-Nov-15,72.10,75.56,72.00,72.96,125190876
27-Nov-15,72.92,73.80,72.75,73.40,53743903
26-Nov-15,72.38,73.23,72.07,73.13,63125314
25-Nov-15,71.64,72.45,71.63,72.17,78263619
24-Nov-15,71.76,71.87,70.55,71.60,118305404
23-Nov-15,71.71,72.05,71.18,71.78,83961634
20-Nov-15,73.60,73.68,71.78,71.78,164628873
19-Nov-15,74.09,74.40,73.07,73.33,121030493
18-Nov-15,73.77,74.09,73.54,74.00,70629208
17-Nov-15,73.60,73.98,73.23,73.84,81852521
16-Nov-15,72.30,73.19,72.24,72.68,64483791
13-Nov-15,72.57,73.01,72.30,72.74,80983286
12-Nov-15,73.59,73.69,72.44,72.54,85486515
11-Nov-15,73.04,73.77,72.70,73.45,53429835
10-Nov-15,73.01,73.43,72.65,72.96,86929159
9-Nov-15,74.02,74.35,72.99,73.00,77127969
6-Nov-15,72.86,74.03,72.63,73.74,95945972
5-Nov-15,74.17,74.17,72.82,72.90,100380342
4-Nov-15,74.81,75.02,73.81,73.85,111066769
3-Nov-15,75.00,75.13,74.04,74.47,80467807
2-Nov-15,73.52,75.16,73.27,75.00,90048201
30-Oct-15,74.50,74.68,72.90,73.73,132838614
29-Oct-15,73.78,74.30,72.06,74.22,192660448
28-Oct-15,73.60,74.39,73.40,74.00,214324492
27-Oct-15,77.69,77.80,77.08,77.40,80339398
26-Oct-15,77.56,78.00,77.24,77.50,61693671
23-Oct-15,77.28,78.02,76.78,77.75,121731720
22-Oct-15,76.27,76.98,75.88,76.73,97925203
21-Oct-15,75.93,76.43,75.49,76.31,107889224
20-Oct-15,75.62,75.93,75.06,75.58,85914881
19-Oct-15,75.17,75.76,74.98,75.47,74951393
16-Oct-15,75.13,75.55,74.73,75.20,87992773
15-Oct-15,74.01,74.70,73.60,74.63,102746620
14-Oct-15,74.44,74.76,73.88,73.88,76795851
13-Oct-15,75.59,75.90,74.47,74.75,115884385
12-Oct-15,77.23,77.41,75.82,75.90,89732028
9-Oct-15,76.74,77.62,76.35,77.21,90912146
8-Oct-15,76.46,76.86,75.66,76.28,103549408
7-Oct-15,77.15,77.75,76.36,76.68,128780962
6-Oct-15,77.56,77.56,76.37,76.91,130169405
5-Oct-15,77.75,77.99,77.01,77.27,137727805
2-Oct-15,76.02,77.72,75.42,76.55,181118224
1-Oct-15,75.94,76.36,74.86,75.22,115248333
30-Sep-15,74.41,75.48,74.23,75.16,154409624
29-Sep-15,73.37,73.79,73.13,73.36,121678615
28-Sep-15,74.87,75.42,73.93,74.09,109443107
25-Sep-15,74.66,75.88,74.41,75.51,169217840
24-Sep-15,73.35,74.50,73.21,73.84,173967261
23-Sep-15,72.15,73.78,72.15,73.13,96551897
22-Sep-15,74.14,74.35,72.30,72.30,121006459
21-Sep-15,72.61,74.43,72.46,74.23,106341785
18-Sep-15,73.93,74.01,71.55,72.71,456595650
17-Sep-15,75.27,75.27,74.04,74.30,142025127
16-Sep-15,75.82,76.01,75.08,75.50,98717763
15-Sep-15,74.59,75.92,73.96,75.58,82495242
14-Sep-15,76.00,76.28,74.18,74.49,110812670
11-Sep-15,76.54,76.57,75.62,75.78,91336609
10-Sep-15,75.75,76.81,75.45,76.32,123725305
9-Sep-15,77.00,77.31,76.46,77.00,127130691
8-Sep-15,76.08,77.13,75.80,75.88,98100476
7-Sep-15,76.09,76.47,75.18,75.67,48242446
4-Sep-15,76.29,76.60,75.27,75.52,104290244
3-Sep-15,76.51,77.30,76.19,76.92,104939356
2-Sep-15,75.96,76.85,74.81,75.86,89721936
1-Sep-15,76.54,77.06,74.89,75.56,144751183
28-Aug-15,77.71,78.13,76.83,77.38,106931837
27-Aug-15,78.01,78.15,77.16,77.68,150814436
26-Aug-15,76.39,77.34,75.06,76.08,130138864
25-Aug-15,75.50,77.95,75.00,76.68,215573893
24-Aug-15,73.11,75.12,72.17,73.46,283054959
21-Aug-15,77.41,78.23,75.83,75.85,127434659
20-Aug-15,78.23,79.18,78.11,78.36,109777272
19-Aug-15,80.10,80.22,78.86,78.91,85842235
18-Aug-15,79.95,80.49,79.73,80.28,82327124
17-Aug-15,80.63,80.63,79.56,80.00,89093705
14-Aug-15,79.63,80.93,79.32,80.10,94744201
13-Aug-15,80.19,81.03,79.42,79.45,102762520
12-Aug-15,80.37,80.96,79.52,79.95,136440119
11-Aug-15,81.01,81.47,80.37,81.08,113996765
10-Aug-15,82.34,82.50,80.31,81.30,158346927
7-Aug-15,83.54,83.58,81.87,82.13,87983462
6-Aug-15,82.74,83.64,82.70,83.30,116238883
5-Aug-15,82.71,83.25,82.06,82.90,127380723
4-Aug-15,82.63,83.07,81.98,82.47,135269990
3-Aug-15,82.84,84.13,82.78,83.07,132165571
31-Jul-15,86.00,86.45,83.19,83.20,210859858
30-Jul-15,86.00,86.61,85.74,86.02,134168311
29-Jul-15,85.27,85.81,85.06,85.60,112186093
28-Jul-15,85.24,85.58,84.65,85.14,107659810
27-Jul-15,85.25,85.51,84.65,84.82,108682052
24-Jul-15,85.90,86.32,85.22,85.36,83674809
23-Jul-15,87.67,87.97,86.29,86.29,112416549
22-Jul-15,86.92,87.63,86.39,87.17,90111820
21-Jul-15,87.93,88.12,87.26,87.65,87724505
20-Jul-15,87.18,87.87,87.18,87.59,75516750
17-Jul-15,86.71,87.48,86.39,87.40,128265519
16-Jul-15,85.81,86.64,85.51,86.51,111377805
15-Jul-15,85.64,86.12,85.46,85.66,79029486
14-Jul-15,85.19,85.84,84.87,85.65,87416306
13-Jul-15,85.30,85.68,84.80,85.30,124666146
10-Jul-15,83.50,84.90,83.30,84.33,139886734
9-Jul-15,82.30,84.02,82.00,83.56,131227297
8-Jul-15,83.95,84.85,82.23,82.33,186589624
7-Jul-15,85.00,85.18,83.99,84.00,132177809
6-Jul-15,84.50,84.76,84.02,84.15,96716456
3-Jul-15,86.21,86.31,85.14,85.56,79257375
2-Jul-15,86.78,86.85,86.04,86.21,108553340
1-Jul-15,86.00,87.16,85.82,86.86,172550123
30-Jun-15,85.49,86.26,85.06,85.24,179232920
29-Jun-15,85.01,86.64,84.99,85.87,137839391
26-Jun-15,87.46,87.62,86.74,87.06,96748952
25-Jun-15,87.00,88.04,86.87,87.52,126656985
24-Jun-15,86.66,87.50,86.30,87.13,109770664
23-Jun-15,87.16,87.52,86.54,87.00,107942711
22-Jun-15,87.15,87.40,86.59,87.08,140583497
19-Jun-15,86.23,87.09,85.82,86.50,435407861
18-Jun-15,86.40,86.90,85.61,86.13,109335495
17-Jun-15,85.92,87.00,85.61,86.35,156935472
16-Jun-15,86.01,86.26,85.67,85.70,116229875
15-Jun-15,86.54,86.99,85.98,86.38,84334833
12-Jun-15,87.11,88.36,86.49,86.95,92031097
11-Jun-15,86.76,87.45,86.44,87.12,97398088
10-Jun-15,86.31,87.13,86.01,86.73,110154346
9-Jun-15,86.08,87.25,85.97,86.48,115610573
8-Jun-15,86.84,87.22,86.30,86.43,84406941
5-Jun-15,87.70,87.73,86.66,87.00,104017725
4-Jun-15,88.85,88.85,87.50,87.50,124704562
3-Jun-15,88.53,89.35,87.78,88.93,111670147
2-Jun-15,88.19,89.25,87.86,88.65,111683996
1-Jun-15,88.02,89.18,88.00,88.66,121937311
