Symbol	Description
IUX	Russell 2000 Stock Index
IVX	S&P 500 Value
IXB	Materials Select Sector Index
IXCO	Nasdaq Computer
IXE	The Energy Select Sector Index
IXF	Nasdaq Financial 100
IXHC	NASDAQ Health Care Index
IXI	Industrial Select Sector Index
IXM	Financial Select Sector Index
IXR	Consumer Staples Select Sector Index
IXT	Technology Select Sector Index
IXTC	Nasdaq Telecommunications
IXU	Utilities Select Sector Index
IXV	Healthcare Select Sector Index
IXY	Consumer Discretionary Select Sector Index
JBV	NYSE Arca Mini-Broker/Dealer  I-
JKC	ML LONG/SHRT III
JKSE	Jakarta Composite Index
JPN	AMEX Japan Index
JPV	AMEX Japan Index Final Settleme
JX	Tsx Venture Composite Index
KBK	NYSE Arca Mini-Pharmaceutical I-
KDX	KBW Finsec Dividend Yield Index
KDY	AMEX Hong Kong Index Float Rate
KGX	KBW Global Ex-U.S. Financials Index
KIX	KBW Insurance Index
KLCI	Kuala Lumpur Composite
KLX	Mkt Vectors Steel Iopv
KPX	KBW Property & Casualty Index
KRX	KBW Regional Banking Index
KS11	Seoul Composite
KSX	KBW Capital Markets Index
KYX	KBW Premium Yield Equity REIT Index
LOWA	AMEX New Lows
LOWD	OTC New Lows
LOWN	NYSE New Lows
LOWQ	NASD New Lows
LOWS	TSX New Lows
LOWV	Tsxv New Lows
LVXR	S&P C.S. Nv-Las Vegas Home Price Index
LXXR	S&P C.S. Ca-Los Angeles Home Price Index
M1HA	1-Month Highs AMEX
M1HD	1-Month Highs Otcbb
M1HE	1-Month Highs ETFS
M1HH	1-Month Highs Price GT $10
M1HL	1-Month Highs Price Lt $10
M1HN	1-Month Highs NYSE
M1HP	1-Month Highs Sp500
M1HQ	1-Month Highs Nasdaq
M1HU	1-Month Highs Volume Lt 100K
M1HV	1-Month Highs Volume GT 100K
M1HX	1-Month Highs Overall
M1LA	1-Month Lows AMEX
M1LD	1-Month Lows Otcbb
M1LE	1-Month Lows ETFS
M1LH	1-Month Lows Price GT $10
M1LL	1-Month Lows Price Lt $10
M1LN	1-Month Lows NYSE
M1LP	1-Month Lows Sp500
M1LQ	1-Month Lows Nasdaq
M1LU	1-Month Lows Volume Lt 100K
M1LV	1-Month Lows Volume GT 100K
M1LX	1-Month Lows Overall
M3HA	3-Month Highs AMEX
M3HD	3-Month Highs Otcbb
M3HE	3-Month Highs ETFS
M3HH	3-Month Highs Price GT $10
M3HL	3-Month Highs Price Lt $10
M3HN	3-Month Highs NYSE
M3HP	3-Month Highs Sp500
M3HQ	3-Month Highs Nasdaq
M3HU	3-Month Highs Volume Lt 100K
M3HV	3-Month Highs Volume GT 100K
M3HX	3-Month Highs Overall
M3LA	3-Month Lows AMEX
M3LD	3-Month Lows Otcbb
M3LE	3-Month Lows ETFS
M3LH	3-Month Lows Price GT $10
M3LL	3-Month Lows Price Lt $10
M3LN	3-Month Lows NYSE
M3LP	3-Month Lows Sp500
M3LQ	3-Month Lows Nasdaq
M3LU	3-Month Lows Volume Lt 100K
M3LV	3-Month Lows Volume GT 100K
M3LX	3-Month Lows Overall
M6HA	6-Month Highs AMEX
M6HD	6-Month Highs Otcbb
M6HE	6-Month Highs ETFS
M6HH	6-Month Highs Price GT $10
M6HL	6-Month Highs Price Lt $10
M6HN	6-Month Highs NYSE
M6HP	6-Month Highs Sp500
M6HQ	6-Month Highs Nasdaq
M6HU	6-Month Highs Volume Lt 100K
M6HV	6-Month Highs Volume GT 100K
M6HX	6-Month Highs Overall
M6LA	6-Month Lows AMEX
M6LD	6-Month Lows Otcbb
M6LE	6-Month Lows ETFS
