Symbol	Description
FDR	Flinders Resources Limit
FEE	Free Energy Internationa
FEM	Ferrum Americas Mining I
FEN	Forent Energy Ltd.
FEO	Oceanic Iron Ore Corp
FEX	Fjordland Exploration In
FF	First Mining Finance Cor
FFC.H	Four River Ventures Ltd
FFF	Northern Frontier Corp
FFM	Formation Fluid Manageme
FG	Falcon Gold Corp
FGC	Frontline Gold Corporati
FGD	First Global Data Limite
FGH	First Growth Holdings Lt
FIX	Firebird Resources Inc
FLX	Fieldex Exploration Inc.
FLY	Flyht Aerospace Solution
FMG	First Mexican Gold Corp
FMK.P	Flying Monkey Capital Co
FMM	Full Metal Minerals Ltd
FMR	Fairmont Resources Inc
FMS	Focus Graphite Inc
FMX	First Mountain Explorati
FNC	Fancamp Exploration Ltd.
FNR	49 North Resources Inc.
FO	Falcon Oil & Gas Ltd
FOM	Foran Mining Corporation
FPC	Falco Resources Ltd
FRI	Freeport Resources Inc.
FRN	Feronia Inc
FSW	Fireswirl  Technologies
FTI	Fti Foodtech Internation
FTJ.H	Fort ST James Nickel Corp
FTR	Firesteel Resources Inc
FUR	Fura Emeralds Inc
FUU	Fission 3.0 Corp
FV	Firestone Ventures Inc
FVR	Finavera Wind Energy Inc
FYL	Finlay Minerals Ltd.
GAL	Galantas Gold Corp.
GAR	Green Arrow Resources In
GAZ.UN	Fronsac Capital REIT Uni
GB	Ginger Beef Corp.
GBB	Gold Bullion Development
GBE	Goldbelt Empires Limited
GBL	Gb Minerals Ltd
GBN	Golden Band Resources In
GBR	Great Bear Resources Ltd
GCC.H	Golden Cariboo Resources
GCN	Goldcliff Resources Corp
GCO	Global Cobalt Corporatio
GCR	Gespeg Copper Resources
GCU	Gold Canyon Resources In
GCX	Granite Creek Gold Ltd
GDM	Goldstar Minerals Inc
GDN	Gordon Creek Energy Inc
GDX	Goldex Resources Corp
GEM	Pele Mountain Resources
GER	Glen Eagle Resources Inc
GES	Gemoscan Canada Inc
GFK	Gfk Resources
GFN	Gold Finder Explorations
GG	Galane Gold Ltd
GGC	G4G Capital Corp
GGG	Graphene 3D Lab Inc
GGI	Garibaldi Resources Corp
GGL	Ggl Resources Corp.
GGY	Goldeye Explorations Ltd
GHR	Golden Harp Resources In
GI	Gem International Resour
GIT	Gitennes Exploration Inc
GJB	Gold Jubilee Capital Cor
GKX	Gemini Corporation
GLB	Goldbank Mining Corporat
GLD	Goldon Resources Ltd
GLK	Great Lakes Graphite Inc
GLW	Galway Gold Inc
GMA	Geomega Resources Inc
GMN	Gobimin Inc
GMV	Gmv Minerals Inc.
GN	Gonzaga Resources Ltd
GNC	Gainey Capital Corp
GNF	Greenfields Petroleum Co
GNF.DB	Greenfields Petroleum Co
GNG	Golden Goliath Resources
GNH	Golden Hope Mines Ltd
GNT	Gentor Resources Inc
GOD	Goldrush Resources Ltd.
GOE	Goldeneye Resources Corp
GOG	Golden Tag Resources Ltd
GOK	Ginsms Inc.
GOM	Golden Dawn Minerals Inc
GOP	Gourmet Ocean Products I
GP	Golden Peak Minerals Inc
GPE	Great Prairie Energy Ser
GPG	Grande Portage Resources
GPH	Graphite One Resources I
GPL	Galileo Petroleum Ltd
GPM	Gpm Metals Inc
GPV	Greenpower Motor Company
GPW	Grand Power Logistics Gr
GPY	Golden Predator Mining C
GQ	Great Quest Fertilizer L
GQC	Goldquest Mining Corp.
GR	Great Atlantic Resources
GRA.H	Graniz Mondal Inc
GRB	Greenbriar Capital Corp
GRC	Grenville Strategic Roya
GRC.DB	Grenville Strategic Roya
GRC.WT	Grenville Strategic Roya
GRG	Golden Arrow Res Corp.
GRI	Galore Resources Inc
GRM	Goldrock Mines Corp
GRR	Golden Reign Resources L
GRS.H	Griffin Skye Corporation
GRV	Gold Reach Resources Ltd
GRX.H	Greenshield Explorations
GRZ	Gold Reserve Inc
GSA	Groundstar Resources Ltd
GSH	Golden Share Mining Corp
GSI	Gatekeeper Systems Inc
GSP	Gensource Potash Corpora
GSR	Goldstrike Resources Ltd
GSS	Gossan Resources Limited
GSV	Gold Standard Ventures C
GSW	Green Swan Captial Corp
GTA	Gta Resources and Mining
GTB	Greatbanks Resources Ltd
GTC	Getty Copper Inc.
GTD.H	Gstaad Capital Corp
GTG	Great Thunder Gold Corp
GTO.H	Galena International Res
GTP	Colt Resources Inc
GUF	Gulf & Pacific Equities
GUG	Gungnir Resources Inc
GUL	Gulf Shores Resources Lt
GUM	Gold Mountain Mining Cor
GUN	Gunpoint Exploration Ltd
GV	Guerrero Ventures Inc
GVG	Grenville Gold Corp.
GWA	Gowest Gold Ltd
GWM	Galway Metals Inc
GWQ	Gwr Resources Inc
GXM	Geodex Minerals Ltd
GXR	Georox  Resources Inc.
GXS	Goldsource Mines Inc
GZD	Grizzly Discoveries Inc.
GZZ	Golden Valley Mines Ltd.
HA	Hodgins Auctioneers Inc
HBE	Hornby Bay Mineral Explo
HBK	Highbank Resources Ltd.
HEC	Handa Copper Corporation
HEG.H	Homeland Energy Group Ltd
HEI	Huntington Exploration I
HEM	Hemostemix Inc
HEO	H2O Innovation Inc.
HGO	Hawkeye Gold and Diamond
HI	Highland Copper Company
HIT	Hit Technologies Inc
HJI	Helijet International In
HLM	Houston Lake Mining Inc
HME	Hemisphere Energy Corpor
HMI	Hinterland Metals Inc.
HMT	Halmont Properties Corp
HMX	Hunt Mining Corp.
HN	High North Resources Ltd
HNC	Hard Creek Nickel Corpor
HOP	Telehop Communications I
HPI	Highbury Projects Inc.
HPL	Horizon Petroleum Plc
HPY	Happy Creek Minerals Ltd
HRC	Helio Res Corp.
HRE	Stans Energy Corp
HRH	Hillcrest Petroleum Ltd
HRL	Hansa Resources Limited
HSR	Homestake Resource Corp
HTC	Htc Purenergy Inc.
HTL	Hamilton Thorne Ltd
HTR	Heatherdale Resources Lt
HUD	Hudson Resources Inc.
HVG	Harvest Gold Corp
HWK.A	Hawk Exploration Ltd. Cl
HWY	Highway 50 Gold Corp
HXC	Hfx Holding Corp
IB	Ibc Advanced Alloys Corp
IBC	International Bethlehem
IBH	International Barrier Te
IBT	Ibex Technologies Inc.
ICG	Integra Gold Corp.
ICM	Iconic Minerals Ltd
ICO	Ico Therapeutics Inc.
ICU	Global Copper Group Inc
IDI	Indico Resources Ltd.
IDL	Imaging Dynamics Company
IDW	Id Watchdog Inc.
IEI	Imperial Equities Inc.
IES	Intercept Energy Service
IFD	Intrinsic4D Inc
IFM	Infrastructure Materials
IFR	International Frontier R
IFX	Imaflex Inc
IGC.H	Igc Resources Inc
IGD	Intigold Mines Ltd
IGO	Independence Gold Corp
IGP	Imperial Ginseng Product
IGX	Intelgenx Technologies C
IKM	Ikkuma Resources Corp
ILA	Ilookabout Corp.
ILC	International Lithium Co
IMA	I-Minerals Inc.
IML	Iberian Minerals Ltd
IMM	Immunotec Inc.
IMR	Imetal Resources Inc
IMT	International Montoro Re
IMU	Biommune Technologies In
INA	Iona Energy Inc
INM	Northair Silver Corp
INP	Input Capital Corp
INT	Intertainment Media Inc.
INX	In-Touch Survey Systems
IO	Inca One Gold Corp
IOG	Ironhorse Oil & Gas Inc.
IOT	Innovotech Inc.
IOU	Iou Financial Inc
IPC	Iplayco Corporation Ltd.
IPD	International Parkside P
IPT	Impact Silver Corp.
IQ	Airiq Inc.
IRC	Ironside Resources Inc
IRI	Iemr Resources Inc
ISD	Isign Media Solutions In
ISS	International Samuel Exp
ITM	Intema Solutions Inc
ITT	Internet of Things Inc
IVF.H	Invictus Financial Inc
IVI	Ivrnet Inc.
IVS	Inventus Mining Corp
IVX	Inventronics Limited
IWG	Iwg Technologies Inc
IXI	Indigo Exploration Inc.
IZN	Inzinc Mining Ltd
JAG	Jaguar Mining Inc
JAU	Jet Gold Corp
JAX	Jaxon Minerals Inc.
JCI.H	Jm Capital II Corp
JCO	Jericho Oil Corporation
JDL	Lowell Copper Ltd
JDN	Jayden Resources Inc
JEN.H	The Jenex Corporation
JET	Jet Metal Corp
JFC	Jaguar Financial Corp
JFI	Jemi Fibre Corp
JLR	Jiulian Resources Inc.
JML	Jag Ltee Les Mines
JNX	Junex Inc.
JP	Jackpot Digital Inc
JSP	Jasper Mining Corporatio
JTC	Jemtec Inc
JTR	Greenspace Brands Inc
JVL.H	Javelle Capital Corp
JX	S&P/TSX Venture Composit
JZR	Jazz Resources Inc.
KAM	Kaminak Gold Corporation
KAP	Kapuskasing Gold Corp
KAR	Karmin Exploration Inc
KAS	Khalkos Exploration Inc
KAY	Karsten Energy Corp
KBG	King S Bay Gold Corp.
KBT	Kombat Copper Inc
KCC	Kincora Copper Limited
KCK	Kicking Horse Energy Inc
KDI	Kennady Diamonds Inc
KE.H	Karoo Exploration Corp
KEK	Keek Inc
KES	Kesselrun Resources Ltd
KFG	Kfg Resources Ltd.
KG	Klondike Gold Corp
KGC	Kestrel Gold Inc
KGL	Kilo Goldmines Ltd.
KIT	Kitrinor Metals Inc
KIV	Kivalliq Energy Corporat
KLE	Kingsland Energy Corp
KLH	Stellar Biotechnologies
KLM	Kermode Resources Ltd.
KMC.H	Kmt Hansa Corp
KMI.H	Killdeer Minerals Inc
KMT	Komet Resources Inc
KNA	Kenna Resources Corp
KNE	Kane Biotech Inc
KNG	Kingsmen Resources Ltd
KNO.H	Cellstop Systems Inc
KNX	Knick Exploration Inc.
KR	Kr Investment Ltd
KRS	Kairos Capital Corporati
KS	Klondike Silver Corp
KSK	Kiska Metals Corporation
KTN	Kootenay Silver Inc
KUB	Cub Energy Inc
