Symbol	Description
WEL	Wildcat Exploration Ltd.
WFG	Waterfront Capital Corpo
WGF	Wescan Goldfields Inc
WGX.H	Whistler Gold Exploratio
WHM	White Metal Resources Co
WHN	Westhaven Ventures Inc
WHY	West High Yield Resource
WIL	Wilton Resources Inc
WKG	Westkam Gold Corp
WKM	West Kirkland Mining Inc
WKM.WT	West Kirkland Mining Inc
WLF	Wolfden Resources Corpor
WLV	Wolverine Minerals Corp.
WMK.H	Whitemud Resources Inc
WML	Wealth Minerals Ltd.
WMM	West Melville Metals Inc
WMR	Westminster Resources Lt
WMT	West Mountain Environmen
WP	Western Pacific Trust Co
WPQ	Wpc Resources Inc
WPR	White Pine Resources Inc
WR	Worldwide Resources Corp
WRI	Waseco Resources Inc.
WRP	Western Pacific Resource
WRR	Walker River Resources C
WRY	Western Troy Cap Res Inc
WSE	Wellstar Energy Corp
WST	Westridge Resources Inc
WT.H	Wangton Capital Corp
WTR	Westcore Energy Ltd.
WZR	Westernzagros Resources
XAG	Xtierra Inc.
XAU	Bitgold Inc
XBC	Xebec Adsorption Inc
XCX	Chinook Tyee Industry Li
XI	Exclamation Investments
XIA	Xiana Mining Inc
XIM	Ximen Mining Corp
XL	Xxl Energy Corp.
XME	Xmet Inc
XND	Xander Resources Inc
XOP	Canadian Overseas Petrol
XTM	Transition Metals Corp
XTT	X Terra Resources Inc
XX	Avante Logixx Inc
XYL	Xylitol Canada Inc.
YAK	Mongolia Growth Group Lt
YFI	Edgewater Wireless Syste
YO	Yoho Resources Inc
YOO	Yangaroo Inc
YTY	Wi2Wi Corporation
ZAD	Zadar Ventures Ltd
ZAO	Zaio Corporation
ZC	Zimtu Capital Corp.
ZCC	Zena Mining Corp.
ZEE	Zenith Energy Ltd
ZEN	Zenyatta Ventures Ltd.
ZFR	Zephyr Minerals Ltd
ZIM	Zinco Mining Corporation
ZKL	China Keli Electric Co Ltd
ZMD	Zoommed Inc.
ZMS	Zecotek Photonics Inc.
ZNC.H	Zincore Metals Inc
ZON	Zonte Metals Inc
ZUM	Zoomermedia Limited
